Episodes,Average Episode Reward
0,-5646.217549331824
1,-796.5012017596579
2,-407.5161636299929
3,-2134.9431909999844
4,-5192.9756669141
5,-6860.523538141012
6,-319.15915151153246
7,-1633.1043336756445
8,-2462.7196798533187
9,-2082.106225529137
10,-2191.0864973392836
11,-4684.32452044207
12,-5249.416723048819
13,-4938.685084603389
14,-7063.3460325460155
15,-6545.685599095195
16,-4130.875120913941
17,-6122.602193755124
18,-530.8357955009245
19,-3281.739567177539
20,-5282.079173055634
21,-4192.6594818505
22,-4481.63600519225
23,-5610.8321262415975
24,-288.2554474280458
25,-4350.217019871077
26,-4651.80094184917
27,-5898.37229974845
28,-4548.317217436195
29,-7169.635606265369
30,-111.62402108126966
31,-5479.836647862156
32,-10218.335514891229
33,-279.50635745377997
34,-42.62394459636419
35,-6060.465017758274
36,-5004.765394126283
37,-1204.4653877466749
38,-2704.1664015508163
39,-6590.468534605728
40,-3137.5411557759767
41,-625.1278255433069
42,-7535.700179209859
43,-4236.826499958896
44,-1129.6386603831236
45,-1887.244762883212
46,-649.6816617966134
47,-2579.2846026626307
48,-1617.9430782607074
49,-10378.951781471767
50,-5329.9839986929255
51,-3256.1051428867686
52,-621.4096605464291
53,-1776.893997963766
54,-1037.528072599539
55,-649.8338821106561
56,-6712.604448884216
57,-1141.2639262899957
58,-3725.463887562204
59,-7824.889342093433
60,-340.9209641285322
61,-786.4446514211784
62,-2712.7108296723763
63,-31.95615634908324
64,-3690.8545895393027
65,-961.3419607217089
66,-78.72199218781114
67,-4774.214656555787
68,-2195.6389061568275
69,-1848.001139096909
70,-371.1827786260855
71,-4920.751219180361
72,-6050.94840432401
73,-6040.8745753258045
74,-17558.200664643467
75,-4099.468219764671
76,-757.9248353698389
77,-9778.223319811232
78,-5129.949883666092
79,-1798.0726978393402
80,-1830.3197356113662
81,-65.38124484037795
82,-1468.9960498707078
83,-3203.249175601848
84,-2072.60000664434
85,-1389.4173403378581
86,-610.0210886370105
87,-3650.853237465168
88,-218.6938770597972
89,-1421.3943822912258
90,-2535.836539705805
91,-3425.1702234573863
92,-1755.1379924935752
93,-2051.132308842761
94,-2687.8333506424156
95,-361.81851255641425
96,-3572.9415100848623
97,-8363.571146284372
98,-1138.878941357744
99,-4262.8744079572925
100,-6088.045089779465
