Episodes,Average Episode Reward
0,-6760.406215229046
1,-1168.4454613810603
2,-872.4025020511276
3,-1053.1549835120754
4,-383.5165648720115
5,-945.0873183216338
6,-6658.207534969015
7,-4086.402186948185
8,-917.9563151007558
9,-2214.2335252687844
10,-4212.395870933274
11,-2289.2820319247203
12,-3124.8209336586756
13,-53.22190626668961
14,-6553.4804331058895
15,-1887.354956991234
16,-1422.569013884152
17,-884.6611205131251
18,-214.57833114533946
19,-1203.9387086472316
20,-1698.6954638781442
21,-1366.9898860344024
22,-6279.900565007207
23,-11582.762589968403
24,-985.9878939226041
25,-3663.242769280101
26,-1589.8894921252338
27,-79.2993532605013
28,-8327.151387411719
29,-23345.514132729273
30,-15525.712441703534
31,-7108.6719970265885
32,-7128.64124869171
33,-10196.33446075367
34,-1663.0796228550366
35,-2582.2104969574443
36,-19367.249613389697
37,-9030.018836332833
38,-1681.3283784166003
39,-9244.050975605034
40,-197.17503051696494
41,-4114.849551639078
42,-81.92471216001712
43,-2113.0871463192134
44,-2805.165952702799
45,-349.6528474965481
46,-1113.0079436896192
47,-589.8331804640361
48,-1561.781552433926
49,-334.01340220014595
50,-4940.245086105203
51,-9751.56598698119
52,-1703.002739040878
53,-933.4764375896336
54,-1840.436634039202
55,-955.5912384291632
56,-1597.8987422987482
57,-347.78722307495354
58,-1646.5317893661754
59,-2044.1486700732594
60,-9187.11934825559
61,-2511.2254114470666
62,-3327.2286801751056
63,-345.7167425401988
64,-2770.316554677921
65,-1196.1213043319663
66,-1154.0025164911324
67,-3908.2203497980427
68,-9008.297802075147
69,-8185.438758055199
70,-2458.820799665962
71,-2439.520760490619
72,-3237.4668649819173
73,-882.1810049507195
74,-962.7213874967778
75,-4750.06790083955
76,-97.45077314207188
77,-2509.739547093153
78,-4.915411594014234
79,-2396.1803842566337
80,-3085.9808680957653
81,-93.04054039170214
82,-3613.2568515974376
83,-1657.6776266284621
84,-4495.424535756302
85,-276.15575662150786
86,-4012.17162692531
87,-1478.8874610951354
88,-110.37696375390341
89,-1306.5910349937392
90,-2528.8941828572724
91,-0.7121392717767795
92,-8678.254427967922
93,-5663.562079247142
94,-8206.200972574992
95,-2072.837138826105
96,-2350.0562182394965
97,-13252.413139721368
98,-882.1930839255369
99,-4296.375140387039
100,-3.4110859107756832
101,-381.44638275292266
102,-4009.248809799087
103,-186.8110685346582
104,-4752.753154557733
105,-1062.2900471832065
106,-58.712991497593094
107,-1291.4123590311533
108,-1502.3878766743514
109,-879.3683966821674
110,-1787.8990665177653
111,-3163.939241547594
112,-18066.170488647113
113,-2612.4907400384473
114,-1236.3218238620361
115,-11556.880032253079
116,-4998.824958363571
117,-0.5974376963411622
118,-717.7819987692934
119,-704.5712580012505
120,-2634.801623260082
121,-4104.337829881246
122,-1291.4018064353888
123,-6988.1855345934255
124,-801.1965830590958
125,-3193.16740620085
126,-179.10828720595833
127,-8639.653418286658
128,-5808.119661253393
129,-7235.564465467647
130,-2030.8816517305622
131,-531.5400452371842
132,-1308.7681046620294
133,-12.377579065615459
134,-8355.529352557083
135,-149.07178830990355
136,-2541.0946149052206
137,-2011.3213264925987
138,-14441.22245380425
139,-8966.853752880363
140,-8136.763112323338
141,-1742.169368075175
142,-4778.785328863492
143,-7646.8410656470805
144,-1083.5201676238626
145,-3205.2272585748183
146,-2300.268839294534
147,-3680.496999322341
148,-1914.8725438476963
149,-2787.634899792027
150,-3495.6625182224134
151,-1243.971720369346
152,-1786.4113314714803
153,-914.598506974834
154,-1209.3197044087729
155,-5914.067315427295
156,-162.17561270857195
157,-6.871973839975851
158,-10858.65787633088
159,-5061.45379363376
160,-1608.3013348946129
161,-831.4128871904634
162,-3558.8185568043805
163,-6256.55647625398
164,-2208.1092399537465
165,-2082.752838795484
166,-5963.545647480552
167,-536.2182236343039
168,-5687.893539533048
169,-9359.83208187814
170,-7428.592662921614
171,-7436.711250022416
172,-0.7870086262818451
173,-7935.122860292905
174,-6778.217809513465
175,-1992.7217359776726
176,-2521.639706794421
177,-3135.079489135593
178,-2215.923650504657
179,-10216.597139770285
180,-367.2724913682898
181,-6403.867032722676
182,-8883.65863966278
183,-1322.2380840078683
184,-51.95496468397125
185,-3896.035716417403
186,-1289.252962353612
187,-3067.0416412094487
188,-3122.1069907956926
189,-2057.389943632257
190,-1384.4894729270798
191,-5452.805214437624
192,-11113.785895779696
193,-1080.5860261302093
194,-4531.0654397391345
195,-8060.33510574348
196,-9152.932236196937
197,-1.500276764649207
198,-1103.5472673558668
199,-25.045874459811817
200,-3111.6063183852248
201,-7005.129448898357
202,-10873.215359286252
203,-2548.7024499472914
204,-2071.466691253965
205,-387.2243621335182
206,-13976.41616161733
207,-9086.303173165119
208,-3415.793922875484
209,-250.8358810572221
210,-616.7831984891295
211,-6956.830587311104
212,-7531.9576480920905
213,-5667.8719547025985
214,-6713.3826867389125
215,-5539.048633476664
216,-7771.693507182421
217,-3582.187631426547
218,-1621.676066626792
219,-11010.689349213735
