Episodes,Average Episode Reward
0,-63.97077890013001
1,-56.52758201762499
2,-59.99999999999979
3,-59.99999999999979
4,-13.163092343074291
5,-14.908965853554408
6,-59.99999999999979
7,-69.47263161090189
8,-41.57678057394514
9,-59.99999999999979
10,-75.94901020454513
11,-76.18977073510436
12,51.99624503025062
13,-59.99999999999979
14,-59.99999999999979
15,-60.47808455735937
16,-40.39927000997403
17,-100.12656337718131
18,-44.56048996780699
19,-48.26239497946127
20,-164.5035288066341
21,-9.813497655196384
22,10.912487627548309
23,47.07881673435328
24,-60.66977462253668
25,-59.99999999999979
26,-48.29699306891045
27,-59.99999999999979
28,-27.646727640744132
29,-62.079062200382154
30,-59.99999999999979
31,-44.910466304155705
32,-69.5731209944135
33,-63.202561713247626
34,-58.999628269512854
35,-59.99999999999979
36,-30.725671049532355
37,-59.99999999999979
38,-64.02071643004263
39,-72.39264035218818
40,-343.4131673133454
41,-61.472367399302016
42,-58.899258093988536
43,-80.63308673818737
44,-50.33176054537003
45,24.009879574289865
46,-35.51148907073564
47,-75.53590178643906
48,5.4051832775854445
49,-78.70411330467994
50,-90.86992621382848
51,-46.41579472755287
52,17.304649486131996
53,-59.99999999999979
54,-59.99999999999979
55,-37.19796659310358
56,-110.84490534301202
57,13.876996504349542
58,-45.23736384569019
59,-54.11887818838733
60,-60.97542097200265
61,-88.95094167589036
62,-47.56151246059697
63,-66.15925122107284
64,-48.72049426297678
65,-16.708149352738157
66,-75.88537899433103
67,-111.76328390191094
68,-85.29909675405665
69,-63.32735841924214
70,-60.70895371559951
71,-30.868343788834867
72,-17.459564638174424
73,-104.2383622147692
74,-59.99999999999979
75,-74.6208025785619
76,-77.74087159764673
77,-9.573237557373503
78,-110.00631390950329
79,-66.47156434970967
80,-320.00562867773294
81,-60.069117877343125
82,-65.92993297074786
83,-76.03694473346118
84,-59.99999999999979
85,-76.39400195521657
86,-77.185239311214
87,-52.74454795368141
88,-68.25898902444345
89,-72.55160311418138
90,-45.9508127354338
91,-38.74183624904458
92,-35.705641093129344
93,-21.12861146984495
94,-48.35258933259529
95,-110.91826808075183
96,-36.63505064575151
97,-79.41971205035044
98,-64.57746384424911
99,-25.611373605732762
100,-465.5834747161933
101,-74.55085813806957
102,-53.54536929689661
103,-60.45668049852138
104,-59.99999999999979
105,-62.246731980076966
106,-60.884613519151095
107,54.899951439082805
108,2.5305920989031945
109,-52.40140804590937
110,-37.85129900564742
111,-127.3898418274113
112,20.981193027423323
113,-61.00160463457193
114,-190.66887405671773
115,-24.55998389966111
116,13.15113970351419
117,-59.99999999999979
118,-59.99999999999979
119,-58.85063014231583
120,-249.40935343780131
121,-85.06602898037683
122,-63.6064680328058
123,-63.40173216627586
124,-51.0307133984663
125,-77.56585547752134
126,-65.7762942724059
127,-58.733489337636776
128,-60.59103231333179
129,-19.429917909212755
130,-39.84531578961989
131,-39.806030167919594
132,-53.71993655416811
133,-30.79536646236288
134,-82.99500245470651
135,-42.717967172493566
136,-54.055736000745725
137,-5.568242257543297
138,-60.515310862372395
139,-59.99999999999979
140,-70.32686347467866
141,-71.9806595866976
142,-45.008607628120394
143,12.042489808000937
144,-82.51104821925951
145,-48.48525826947554
146,-71.74208055110185
147,-76.0173536623385
148,-81.14445129764702
149,-29.292537637669714
150,-63.51880551579405
151,-57.58130660414055
152,-79.8186568716508
153,-59.99999999999979
154,-61.160845805495164
155,-66.48650776194091
156,-48.18745797896905
157,-68.65869554193905
158,-10.878777699252785
159,-61.44443997825246
160,-553.5207100616238
161,-46.67540361911623
162,-69.9856107001816
163,-61.54340364653678
164,-60.568380963617805
165,-49.61027340742605
166,-59.99999999999979
167,-63.537945373108265
168,-24.776734286297
169,-60.216645729940325
170,-54.53680918925649
171,-19.103782923703665
172,-29.456935202159375
173,-59.99999999999979
174,-38.548481845369665
175,-50.892919228488324
176,-59.99999999999979
177,-30.80101414854944
178,-60.33730211172265
179,-57.78358169621288
180,-806.5567145688708
181,-65.84514821089583
182,-59.99999999999979
183,-87.49235716705694
184,-60.0239255120521
185,-61.38823916174889
186,-54.01461815990825
187,-60.44703310875655
188,-81.65762160797006
189,-61.74619773876681
190,-32.99595666917859
191,-62.38387152032721
192,-25.565460859124833
193,-75.80296768656581
194,-37.18356520263245
195,-59.47012497549297
196,-65.07691224417374
197,-75.24254797859581
198,-43.235781482520856
199,-77.84874646740826
200,-650.8121723871304
201,-72.09551501092662
202,-64.7484559995394
203,-0.35444864970414064
204,-53.260853059004
205,-67.37110861472235
206,-4.409445520064319
207,-56.71329260445531
208,-59.99999999999979
209,-63.87137260504697
210,-10.6164929372251
211,-36.54279365366266
212,-66.88516510070404
213,-15.555808593699384
214,-61.31374123793772
215,17.290794684462668
216,-52.71961739347004
217,-24.3997812877675
218,-59.99999999999979
219,-28.915732361937337
220,-522.764984066537
221,-65.99510897630346
222,-18.094390237316816
223,-35.26993846729464
224,-61.05774168657874
225,-19.292629240647074
226,-68.10025425458491
227,-56.1827801775802
228,-59.99999999999979
229,-61.82363927660173
230,-59.99999999999979
231,-59.99999999999979
232,-95.49487890931611
233,-59.99999999999979
234,-16.8372746061397
235,-70.05523781156057
236,-60.00522498289572
237,-70.9549933404128
238,-63.703492272300345
239,-59.99999999999979
240,-440.5689866347423
241,-54.31598171909608
242,-47.086367174697706
243,-67.95378981087384
244,-59.99999999999979
245,-59.99999999999979
246,-70.95449114361838
247,-65.3303932232007
248,-29.413797256319626
